bidNtceNo,bidNtceOrd,bidClsfcNo,rbidNo,bidNtceNm,plnprc,bssamt,totRsrvtnPrceNum,compnoRsrvtnPrceSno,bsisPlnprc,drwtYn,drwtNum,bidwinrSlctnAplBssCntnts,rlOpengDt,bssamtBssUpNum,compnoRsrvtnPrceMkngDt,inptDt,PrearngPrcePurcnstcst
20220201169,000,0,000,2022년 하수처리구역 외 하수도 수선공사(연간단가),187942250,189985000,15,13,185585000,N,25,행자부,2022-02-09 11:08:46,7,2022-02-03 14:35:04,2022-02-09 11:08:46,
20220201169,000,0,000,2022년 하수처리구역 외 하수도 수선공사(연간단가),187942250,189985000,15,14,187245500,Y,27,행자부,2022-02-09 11:08:46,7,2022-02-03 14:35:04,2022-02-09 11:08:46,
20220201169,000,0,000,2022년 하수처리구역 외 하수도 수선공사(연간단가),187942250,189985000,15,15,192308600,N,25,행자부,2022-02-09 11:08:46,7,2022-02-03 14:35:04,2022-02-09 11:08:46,
20220224803,000,0,000,2022년 지하차도 배수로 준설공사,89918675,90610000,15,1,91676500,N,5,행자부,2022-02-24 11:21:51,7,2022-02-18 13:33:08,2022-02-24 11:21:51,
20220224803,000,0,000,2022년 지하차도 배수로 준설공사,89918675,90610000,15,2,92607100,N,3,행자부,2022-02-24 11:21:51,7,2022-02-18 13:33:08,2022-02-24 11:21:51,
20220224803,000,0,000,2022년 지하차도 배수로 준설공사,89918675,90610000,15,3,87891700,Y,6,행자부,2022-02-24 11:21:51,7,2022-02-18 13:33:08,2022-02-24 11:21:51,
20220224803,000,0,000,2022년 지하차도 배수로 준설공사,89918675,90610000,15,4,88375600,N,4,행자부,2022-02-24 11:21:51,7,2022-02-18 13:33:08,2022-02-24 11:21:51,
20220224803,000,0,000,2022년 지하차도 배수로 준설공사,89918675,90610000,15,5,91948400,N,6,행자부,2022-02-24 11:21:51,7,2022-02-18 13:33:08,2022-02-24 11:21:51,
20220224803,000,0,000,2022년 지하차도 배수로 준설공사,89918675,90610000,15,6,89185700,N,5,행자부,2022-02-24 11:21:51,7,2022-02-18 13:33:08,2022-02-24 11:21:51,
20220224803,000,0,000,2022년 지하차도 배수로 준설공사,89918675,90610000,15,7,92387800,Y,7,행자부,2022-02-24 11:21:51,7,2022-02-18 13:33:08,2022-02-24 11:21:51,
